0,ProblemDescription,ProblemCategory,ProblemKeyword,Solution,SolutionDoc,AdditionalInfo,Code,L2D_SIM,CreateDate,UpdateDate
SC 법인 차량에 에어컨이 안나옵니다.,핸드폰(휴대폰) 카메라로 찍은 사진 전송시 PC에서 열람이 안되는 경우 발생.,PC관리,디바이스,heic오류로 파일을 표시하려면 HEVC 비디오 확장명이 필요합니다.1.핸드폰 설정 화면 열기1)핸드폰 설정 실행 > 검색 > '카메라' 검색 > 카메라 앱 정보2.카메라 실행 > 톱니바퀴(설정 아이콘)3.고효율 사진 비활성화※비활성화 후 촬영한 사진부터 HEIC가 해제됩니다.,cesco4_7.pdf,,cesco4,0.6484938447670453,2024-08-30,2024-08-30
SC 법인 차량에 에어컨이 안나옵니다.,"철거된 장비가 SR 상에 남아있어 ""서비스 확인이 되지 않은 장비가 존재합니다. 장비 태깅 또는 태깅불가 사유 입력 후 사진을 등록해주세요."" 오류 메시지를 띄우며 태깅 진행을 요청할 경우.",모바일서비스(SRS),모바일서비스(SRS),※서비스운영팀에 문의,cesco7_22.pdf,,cesco7,0.6499072503894183,2024-08-30,2024-08-30
SC 법인 차량에 에어컨이 안나옵니다.,SRS 고객제공문서 사후미팅 선택이 불가한 경우.,모바일서비스(SRS),모바일서비스(SRS),※서비스운영팀에 문의,cesco7_13.pdf,,cesco7,0.6514216776279307,2024-08-30,2024-08-30
SC 법인 차량에 에어컨이 안나옵니다.,DSS 지사 요청 삭제 오류 - 선택하신 장비는 아직 요청이 처리되지 않은 건 입니다.,세스넷,Device Solution System,"※오류 메시지에 나와있는 이전 상신한 지사요청 등록일자 확인 후 해당 지사요청 삭제※DE 일정 생성 후 서비스 진행이 안된 경우, DE 플랜 삭제 이후 지사요청 삭제 가능",cesco9_25.pdf,,cesco9,0.6536410332816328,2024-08-30,2024-08-30
SC 법인 차량에 에어컨이 안나옵니다.,듀얼 모니터 사용시 모니터 한쪽이 보이지 않습니다.,PC관리,디바이스,여러 디스플레이 탭에 1 OR 2에만 표시로 되어 있어서 확인이 안됨.1.설정 → 시스템2.디스플레이 → 여러 디스플레이 → 디스플레이 확장으로 변경,cesco4_17.pdf,,cesco4,0.6626047627370842,2024-08-30,2024-08-30
차세대시스템 내 DB 구조가 궁금합니다.,복합기에 ID/비밀번호를 사번/사번으로 로그인 시 해당 사번은등록되지 않은 사용자라고 뜨면서 로그인 되지 않는 문제,PC관리,디바이스,"아이디, 비밀번호를 입력하고 밑에 로그인 경로에 로컬 DB 인증으로 설정이 된 채로 로그인 시도를 해서로그인이 안되는 경우입니다.-로그인 경로에 서버 DB 인증으로 바꾸고 로그인 재 시도",cesco4_19.pdf,,cesco4,0.6182474619454296,2024-08-30,2024-08-30
차세대시스템 내 DB 구조가 궁금합니다.,"그룹웨어 접속 시 ""내부정보유출방지 시스템 설치안내(DLP)"" 페이지로 연결되는 경우",그룹웨어,그룹웨어,"※다음 매뉴얼을 순차적으로 진행합니다. (3번까지 진행 후, 동일한 경우 4번 진행)1.DLP 설치 되어있는지 확인2.설치 안되어있는 경우 → http://cesnet.cesco.biz/ 이동 → 설치파일 다운로드3.DLP 로그인 확인 (트레이 아이콘 확인)4.DLP 아이콘 우클릭 → 정책가져오기5.자산값 패치 파일 (클릭) 다운로드 → 실행 → 1분 후 PC 재부팅6.그룹웨어 접속하여 확인",cesco5_10.pdf,,cesco5,0.6317672102515817,2024-08-30,2024-08-30
차세대시스템 내 DB 구조가 궁금합니다.,DSS 지사요청등록 최종요청 시 오류 - 응용프로그램에서 처리되지 않은 예외가 발생했습니다.,세스넷,Device Solution System,"※실제 지연은 아니지만 하루 이후에 요청을 할 경우 지연으로 판단하여 오류가 뜬 것이므로,지사요청등록 일정변경사유 선택 후 요청 등록하기",cesco9_27.pdf,,cesco9,0.6321115261253913,2024-08-30,2024-08-30
차세대시스템 내 DB 구조가 궁금합니다.,DSS 지사 요청 삭제 오류 - 선택하신 장비는 아직 요청이 처리되지 않은 건 입니다.,세스넷,Device Solution System,"※오류 메시지에 나와있는 이전 상신한 지사요청 등록일자 확인 후 해당 지사요청 삭제※DE 일정 생성 후 서비스 진행이 안된 경우, DE 플랜 삭제 이후 지사요청 삭제 가능",cesco9_25.pdf,,cesco9,0.6326719763815706,2024-08-30,2024-08-30
차세대시스템 내 DB 구조가 궁금합니다.,세스넷 구획화 모니터링에서 출력한 결과보고서 그래프나 표 크기가 이상하게 나오는 경우,세스넷,"(구)방제관리, 신방제관리","1.바탕화면 마우스 우클릭 → 디스플레이 설정2.배율 및 레이아웃 → 텍스트, 앱 및 기타 항목의 크기 변경 → 100% 로 변경3.PC 재부팅4.결과보고서 재출력하여 확인",cesco9_17.pdf,,cesco9,0.6338192031817353,2024-08-30,2024-08-30
